Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,1.781800,1.781800,1.781800,1.781800,1.781800,0
2013-01-02,1.781400,1.782000,1.774000,1.781400,1.781400,0
2013-01-03,1.777780,1.782500,1.776480,1.777780,1.777780,0
2013-01-04,1.785600,1.790530,1.783640,1.784200,1.784200,0
2013-01-07,1.780580,1.786240,1.779000,1.780480,1.780480,0
2013-01-08,1.779180,1.782150,1.775000,1.779180,1.779180,0
2013-01-09,1.777280,1.779690,1.774000,1.777280,1.777280,0
2013-01-10,1.775380,1.777530,1.771490,1.775380,1.775380,0
2013-01-11,1.766380,1.773370,1.765830,1.766380,1.766380,0
2013-01-14,1.769380,1.771800,1.766880,1.769380,1.769380,0
2013-01-15,1.768080,1.773030,1.767400,1.768080,1.768080,0
2013-01-16,1.768470,1.772630,1.766770,1.768470,1.768470,0
2013-01-17,1.764090,1.766560,1.753270,1.763670,1.763670,0
2013-01-18,1.753470,1.762520,1.752000,1.753270,1.753270,0
2013-01-21,1.758570,1.764350,1.757970,1.758740,1.758740,0
2013-01-22,1.764230,1.772180,1.759670,1.764230,1.764230,0
2013-01-23,1.767970,1.773950,1.766870,1.767870,1.767870,0
2013-01-24,1.770770,1.772710,1.768500,1.770770,1.770770,0
2013-01-25,1.768270,1.771120,1.763500,1.768270,1.768270,0
2013-01-28,1.766600,1.771630,1.764270,1.766770,1.766770,0
2013-01-29,1.773070,1.774100,1.766000,1.773070,1.773070,0
2013-01-30,1.766500,1.770560,1.764470,1.767270,1.767270,0
2013-01-31,1.768100,1.769870,1.757060,1.768320,1.768320,0
2013-02-01,1.755500,1.758700,1.748900,1.755750,1.755750,0
2013-02-04,1.747420,1.758770,1.745900,1.748370,1.748370,0
2013-02-05,1.761640,1.764020,1.756850,1.761670,1.761670,0
2013-02-06,1.760470,1.766560,1.758620,1.760470,1.760470,0
2013-02-07,1.768870,1.772500,1.765300,1.768870,1.768870,0
2013-02-08,1.772970,1.774620,1.768000,1.772970,1.772970,0
2013-02-11,1.770370,1.776860,1.768000,1.770370,1.770370,0
2013-02-12,1.774870,1.777070,1.770300,1.774870,1.774870,0
2013-02-13,1.771870,1.772070,1.763120,1.771870,1.771870,0
2013-02-14,1.763370,1.771070,1.761700,1.763370,1.763370,0
2013-02-15,1.767870,1.771160,1.766270,1.767650,1.767650,0
2013-02-18,1.768210,1.770050,1.765070,1.767670,1.767670,0
2013-02-19,1.765870,1.778900,1.764500,1.765800,1.765800,0
2013-02-20,1.775170,1.781070,1.772000,1.775460,1.775460,0
2013-02-21,1.784860,1.794410,1.782800,1.784570,1.784570,0
2013-02-22,1.793010,1.800790,1.790200,1.792570,1.792570,0
2013-02-25,1.798970,1.803320,1.791000,1.799070,1.799070,0
2013-02-26,1.810270,1.814560,1.802240,1.810270,1.810270,0
2013-02-27,1.804670,1.808330,1.799800,1.804670,1.804670,0
2013-02-28,1.796530,1.800190,1.793800,1.795970,1.795970,0
2013-03-01,1.798470,1.807310,1.795690,1.798470,1.798470,0
2013-03-04,1.797570,1.805440,1.797370,1.798150,1.798150,0
2013-03-05,1.797270,1.799110,1.793270,1.797270,1.797270,0
2013-03-06,1.790570,1.795270,1.789270,1.790570,1.790570,0
2013-03-07,1.797490,1.801200,1.794000,1.797490,1.797490,0
2013-03-08,1.796290,1.807270,1.791300,1.796750,1.796750,0
2013-03-11,1.802780,1.806630,1.799000,1.804090,1.804090,0
2013-03-12,1.798360,1.806780,1.797090,1.798360,1.798360,0
2013-03-13,1.802210,1.815360,1.800000,1.802110,1.802110,0
2013-03-14,1.811490,1.816200,1.809300,1.811490,1.811490,0
2013-03-15,1.809270,1.812590,1.804000,1.809270,1.809270,0
2013-03-18,1.815770,1.817800,1.811200,1.815770,1.815770,0
2013-03-19,1.812270,1.822140,1.810490,1.812270,1.812270,0
2013-03-20,1.825170,1.826010,1.816970,1.825170,1.825170,0
2013-03-21,1.816270,1.821040,1.812450,1.816270,1.816270,0
2013-03-22,1.817170,1.820360,1.812600,1.817170,1.817170,0
2013-03-25,1.811170,1.822370,1.809570,1.811120,1.811120,0
2013-03-26,1.820620,1.822520,1.813170,1.820620,1.820620,0
2013-03-27,1.812810,1.822090,1.811810,1.812720,1.812720,0
2013-03-28,1.811750,1.817890,1.808550,1.811750,1.811750,0
2013-03-29,1.808720,1.811220,1.807500,1.808720,1.808720,0
2013-04-01,1.809070,1.814090,1.804670,1.809070,1.809070,0
2013-04-02,1.803920,1.809140,1.800870,1.803920,1.803920,0
2013-04-03,1.801600,1.811210,1.801600,1.802620,1.802620,0
2013-04-04,1.807470,1.811700,1.804700,1.806720,1.806720,0
2013-04-05,1.802390,1.806480,1.794240,1.801470,1.801470,0
2013-04-08,1.801690,1.801690,1.784000,1.801690,1.801690,0
2013-04-09,1.785060,1.788630,1.780210,1.784980,1.784980,0
